año,provincia,departamento,cultivo,lat,lon,zona_agroclimatica,produccion_tn
2000,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,26659
2001,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,32052
2002,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,31795
2003,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,39362
2004,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,38444
2005,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,43152
2006,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,36715
2007,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,48081
2008,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,51996
2009,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,50667
2010,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,52126
2011,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,55576
2012,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,44105
2013,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,55892
2014,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,57654
2015,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,61720
2016,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,37294
