año,provincia,departamento,cultivo,lat,lon,zona_agroclimatica,rendimiento_tn_ha
2000,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.61
2001,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.82
2002,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.49
2003,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.81
2004,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.72
2005,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.85
2006,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.43
2007,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.97
2008,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.18
2009,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.89
2010,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.96
2011,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.07
2012,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.62
2013,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.07
2014,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.1
2015,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.08
2016,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,2.0
2017,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.25
2018,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.35
2019,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.39
2020,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.15
2021,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.46
2022,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,1.78
2023,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.56
2024,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,3.46
2000,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.61
2001,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.82
2002,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.49
2003,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.81
2004,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.72
2005,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.85
2006,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.43
2007,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.97
2008,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.18
2009,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.89
2010,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.96
2011,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.07
2012,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.62
