año,provincia,departamento,cultivo,lat,lon,zona_agroclimatica,sup_sembrada_ha
2000,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,10214
2001,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,11366
2002,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,12769
2003,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,14008
2004,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,14134
2005,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,15141
2006,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,15109
2007,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,16189
2008,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,16351
2009,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,17532
2010,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,17610
2011,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,18103
2012,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,16834
2013,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,18206
2014,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,18598
2015,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,20039
2016,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,18647
2017,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,16810
2018,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,17329
2019,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,15706
2020,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,15297
2021,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,16382
2022,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,16251
2023,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,16722
2024,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,17210
2000,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,185998
2001,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,206966
2002,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,234947
2003,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,261124
2004,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,265230
2005,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,282655
2006,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,278216
2007,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,294789
2008,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,297741
2009,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,322586
2010,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,328270
2011,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,339713
2012,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,314256
2013,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,335241
2014,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,338656
2015,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,364914
2016,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,343097
2017,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,313349
2018,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,325179
2019,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,293188
2020,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,281672
2021,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,298298
2022,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,295925
2023,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,307669
2024,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,320810
2000,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,11401
2001,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,12048
2002,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,13498
2003,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,15511
2004,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,16633
2005,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,18380
2006,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,17924
2007,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,18070
2008,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,17333
2009,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,18533
2010,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,19499
2011,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,21304
2012,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,20435
2013,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,21598
